번호,name,address,disabled_man,disabled_woman,opentime,latitude,longitude,diaper,error_count,emergency_bell
4160,국사봉경로당,서울특별시 관악구 봉천동 622-70,없음,없음,09:00~18:00,37.4875053,126.9437483,없음,0,여자화장실
3977,국사봉체육관,서울특별시 관악구 봉천동 산103-52,있음,있음,06:00~20:00,37.491689,126.941363,없음,0,여자화장실
3219,국제공항(U턴)주유소 개방화장실,서울특별시 강서구 공항동 61-243,없음,없음,00:00~24:00,37.55724807,126.8100287,없음,0,여자화장실
3936,국제방송교류재단 1층,서울특별시 서초동 1467-83,없음,없음,정시(09:00∼18:00),37.4787434,127.0083975,없음,0,여자화장실
3935,국제방송교류재단 2층,서울특별시 서초동 1467-83,없음,있음,정시(09:00∼18:00),37.4787434,127.0083975,없음,0,여자화장실
1999,국제배드민턴장,서울특별시 도봉구 도봉동 산 98-9,없음,없음,상시,37.6765078,127.0425343,없음,0,여자화장실
3366,국제선청사 1층 동편,서울특별시 강서구 방화동 886-5,있음,있음,00:00~24:00,37.57136985,126.8029604,없음,0,여자화장실
3367,국제선청사 1층 서편,서울특별시 강서구 방화동 886-5,있음,있음,00:00~24:00,37.57136985,126.8029604,남여,0,여자화장실
3369,국제선청사 1층 입국장 세관지역,서울특별시 강서구 방화동 886-5,없음,없음,00:00~24:00,37.57136985,126.8029604,남여,0,없음
3368,국제선청사 1층 입국장 중앙,서울특별시 강서구 방화동 886-5,없음,없음,00:00~24:00,37.57136985,126.8029604,남여,0,남자화장실+여자화장실
3370,국제선청사 1층 입국장(장애인),서울특별시 강서구 방화동 886-5,없음,없음,00:00~24:00,37.57136985,126.8029604,없음,0,남자화장실+여자화장실
3372,국제선청사 2층 동편,서울특별시 강서구 방화동 886-5,있음,있음,00:00~24:00,37.57136985,126.8029604,남여,0,없음
