 연번 , 구분 , 호선 ,name,address, 소재지지번주소 ,disabled_man,disabled_woman, 화장실 상세위치 ,latitude,longitude,emergency_bell, 기저귀교환대설치유무-남자화장실 , 기저귀교환대설치유무-여자화장실 ,diaper
38, 공중화장실 ,2, 역삼 , 서울특별시 강남구 역삼동 804 역삼역 , 서울특별시 강남구 역삼동 8 ,있음,있음, 대합실 2층 통로 중앙 ,57.50067442,127.0364694,있음,없음,없음,없음
39, 공중화장실 ,2, 강남 , 서울특별시 강남구 역삼동 858 강남역 , 서울특별시 강남구 역삼동 8 ,있음,있음," 대합실 1층 역무실쪽(1,12번출구쪽),게이트내 ",37.49808634,127.0280014,있음,없음,있음,여자
40, 공중화장실 ,2, 교대(2) , 서울특별시 서초구 서초동 1748-4 교대역(2호선) , 서울특별시 서초구 서초동 1 ,있음,있음," 대합실 1층 1,2,3,4,번출구 쪽 ",37.4939,127.0143838,있음,있음,있음,남여
41, 공중화장실 ,2, 서초 , 서울특별시 서초구 서초동 1748-5 서초역 , 서울특별시 서초구 서초동 1 ,있음,있음," 대합실1층 (1,2,7,8번 출구쪽),게이트외 ",37.49184993,127.0076621,있음,있음,있음,남여
42, 공중화장실 ,2, 방배 , 서울특별시 서초구 방배동 912-14 방배역 , 서울특별시 서초구 방배동 9 ,있음,있음," 서초방면 대합실 끝(1,4번 출구방향),게이트외 ",37.508826,127.063067,있음,있음,있음,남여
43, 공중화장실 ,2, 사당(2) , 서울특별시 동작구 사당동 1129 사당역(2호선) , 서울특별시 동작구 사당동 1 ,있음,있음," 지하1층 대합실 1,2번 출구 쪽(방배측) ",37.47656223,126.9815586,있음,있음,있음,남여
44, 공중화장실 ,2, 사당(2) , 서울특별시 동작구 사당동 1129 사당역(2호선) , 서울특별시 동작구 사당동 1 ,있음,있음," 지하1층 대합실 7,8번 출구 쪽(낙성대측) ",37.47656223,126.9815586,있음,있음,있음,남여
45, 공중화장실 ,2, 낙성대 , 서울특별시 관악구 봉천동 1693-39 2호선 낙성대역사 , 서울특별시 관악구 봉천동 1 ,있음,있음," 대합실 1층 고객안내부스앞(3,4,5,6번출구쪽) ",37.47709324,126.9635239,있음,있음,있음,남여
46, 공중화장실 ,2, 서울대입구 , 서울특별시 관악구 봉천동 979-2 서울대입구역사 , 서울특별시 관악구 봉천동 9 ,있음,있음," 대합실 1층 (7,8번출구쪽) ",37.492765,127.010541,있음,있음,있음,남여
47, 공중화장실 ,2, 봉천 , 서울툭별시 관악구 봉천동 979-7 2호선 봉천역사 , 서울툭별시 관악구 봉천동 9 ,있음,있음," 대합실1층, 안내부스맞은편(1,6번출구쪽)게이트외 ",37.481297,126.99732,있음,있음,있음,남여
48, 공중화장실 ,2, 신림 , 서울특별시 관악구 신림동 1467-10 2호선 신림역사 , 서울특별시 관악구 신림동 1 ,있음,있음," 대합실 1층 역무실 맞은편(3,4번출구쪽),게이트내 ",37.48426714,126.9297454,있음,있음,있음,남여
49, 공중화장실 ,2, 신대방 , 서울특별시 동작구 신대방동 643-1 신대방역 2호선 , 서울특별시 동작구 신대방동  ,있음,있음," 대합실 1층 역무실쪽(1,2번출구쪽), 게이트내 ",37.48765046,126.9135075,있음,있음,있음,남여
50, 공중화장실 ,2, 구로디지털단지 , 서울특별시 구로구 구로동 810-3 구로디지털단지역 , 서울특별시 구로구 구로동 8 ,있음,있음," 지상2층, 역무실 앞 (게이트내) ",37.477028,126.963396,있음,없음,없음,없음
